node1,node2,time,line,color
175,78,41,12,darkgreen
175,325,144,12,darkgreen
176,281,71,14,purple
177,225,88,8,orchid
177,79,41,8,orchid
184,260,31,7,pink
184,352,36,7,pink
189,367,49,3,khaki
189,370,35,3,khaki
190,269,27,9,olive
190,42,42,9,olive
191,147,49,12,darkgreen
191,194,67,12,darkgreen
192,64,57,4,magenta
192,337,36,4,magenta
194,191,67,12,darkgreen
194,276,67,12,darkgreen
195,47,41,10,gold
195,74,44,10,gold
197,141,49,9,olive
197,199,28,9,olive
199,197,28,9,olive
199,104,62,9,olive
200,257,51,8,orchid
200,94,27,8,orchid
202,51,69,13,aqua
202,326,112,13,aqua
203,317,53,9,olive
203,332,40,9,olive
204,366,51,2,blue
204,85,47,2,blue
205,94,39,8,orchid
205,296,38,8,orchid
206,106,36,12,darkgreen
206,218,45,12,darkgreen
207,113,47,13,aqua
207,100,113,13,aqua
208,361,42,4,magenta
208,333,48,4,magenta
209,101,36,6,green
209,232,54,6,green
210,3,41,4,magenta
210,95,48,4,magenta
211,284,49,2,blue
211,86,37,2,blue
212,275,86,1,yellow
212,295,64,1,yellow
213,12,42,2,blue
214,236,42,6,green
215,42,35,9,olive
215,307,60,9,olive
216,62,48,6,green
216,243,55,6,green
217,353,29,12,darkgreen
217,322,37,12,darkgreen
218,206,45,12,darkgreen
218,294,38,12,darkgreen
219,297,50,5,orange
219,313,81,5,orange
220,316,35,9,olive
220,315,80,9,olive
221,74,52,10,gold
221,174,31,10,gold
222,323,42,4,magenta
222,330,31,4,magenta
223,289,43,3,khaki
223,132,68,3,khaki
224,282,80,7,pink
224,59,72,7,pink
225,298,75,8,orchid
225,177,88,8,orchid
226,160,40,5,orange
226,270,39,5,orange
227,173,34,1,yellow
227,356,38,1,yellow
228,255,53,7,pink
228,282,49,7,pink
229,305,43,3,khaki
229,312,64,3,khaki
230,26,64,6,green
230,354,62,6,green
231,368,40,12,darkgreen
231,106,29,12,darkgreen
232,209,54,6,green
232,348,46,6,green
233,320,33,3b,aqua
233,116,50,3b,aqua
234,249,38,13,aqua
234,113,36,13,aqua
235,1,44,2,blue
235,284,44,2,blue
236,214,42,6,green
236,19,31,6,green
238,322,27,12,darkgreen
238,0,41,12,darkgreen
239,5,54,2,blue
239,27,64,2,blue
240,172,35,8,orchid
241,49,40,7,pink
241,149,57,7,pink
242,46,63,5,orange
243,216,55,6,green
243,83,36,6,green
244,352,37,7,pink
244,164,60,7,pink
245,168,28,13,aqua
245,153,64,13,aqua
246,27,59,2,blue
246,302,37,2,blue
247,146,50,11,brown
247,357,23,11,brown
249,273,35,13,aqua
249,234,38,13,aqua
250,44,64,7,pink
250,123,51,7,pink
254,345,75,7,pink
254,71,73,7,pink
255,71,37,7,pink
255,228,53,7,pink
256,362,37,2,blue
257,265,26,8,orchid
257,200,51,8,orchid
258,6,46,1,yellow
260,266,37,7,pink
260,184,31,7,pink
261,266,46,7,pink
