id,X,Y,name,line
36,0,0,"Boulogne, Jean Jaurès",10
52,0,0,Chardon Lagâche,10
145,0,0,Javel,10
196,0,0,Michel Ange Auteuil,10
198,0,0,Michel Ange Molitor,10
201,0,0,Mirabeau,10
259,0,0,Porte d'Auteuil,10
373,0,0,Église d'Auteuil,10
